AAPL,MSFT,AMZN,GOOGL,TSLA
13.26737785,12.48700047,20.49699783,27.04419136,3.662667036
13.65788269,12.69050026,20.63488579,27.45055199,3.599333048
13.55022907,12.41149998,20.53128052,27.13541222,3.552000046
13.74240303,12.62749958,20.76101112,27.50031471,3.607332945
13.87997437,12.90250015,21.16416359,27.77399635,3.636667013
14.21095276,12.78600025,21.56031036,27.98962021,3.966666937
14.14771366,12.88650036,21.45220184,27.62471199,3.700666904
14.30749416,12.93400002,21.86261368,27.35932922,3.719332933
14.18267441,13.00800037,21.80880928,27.0856514,4.626667023
14.06468391,13.18150043,22.02777863,27.11053848,5.117332935
14.1196413,13.22550011,21.9602108,27.39250565,5.853332996
13.78182125,13.41650009,22.1996994,28.00215149,5.549333096
13.31575966,13.32800007,22.92016983,28.26939392,5.656000137
13.49367809,13.20600033,22.61936951,28.46147728,6.150000095
13.45269203,13.49499989,22.75225258,29.12123108,6.099999905
13.75294399,13.38150024,22.73598671,29.29661369,5.995999813
13.65141296,13.44299984,22.6969471,29.10453987,5.839333057
13.70388508,13.14799976,22.25775719,28.90410805,5.815999985
13.72841549,13.09000015,22.09184265,28.51993942,6.18200016
13.82187462,13.08699989,21.85485458,28.62015152,6.472000122
13.7066803,13.36450005,22.0538044,29.24651337,7.355332851
13.81566334,13.27649975,21.72947884,29.12958336,6.975333214
14.02152634,13.34150028,21.79079056,29.2548542,6.996666908
13.96408558,13.46000004,21.80230141,29.14630127,6.517333031
13.99482441,13.34399986,21.71246147,29.72253609,6.172667027
13.95104122,13.28499985,21.49899864,29.22145462,6.322667122
13.82063007,13.35849953,21.51401329,29.04607391,6.357999802
13.61415291,13.39150047,21.63763809,29.19639206,6.489999771
13.71816921,13.84350014,22.01526451,29.78934479,6.802667141
13.62749767,14.05350018,22.27777863,29.62231827,6.670000076
13.58744621,13.73900032,22.01726723,29.09618187,6.297999859
13.41946888,13.58349991,21.82132149,29.22981262,6.515333176
13.53652763,13.78950024,21.9469471,28.99597168,6.545332909
13.35302258,13.69950008,21.89789772,28.72872353,6.686666965
13.41356659,13.90299988,22.17842865,29.22981262,6.813333035
13.40642834,14.0880003,22.53803825,29.21310425,6.892666817
13.13411903,13.90799999,22.53953934,28.88740158,6.978666782
12.94285202,13.67199993,22.14064026,27.96875191,6.710000038
12.83914089,13.66800022,22.04529572,27.78501129,6.636666775
12.49883842,13.53050041,21.76651764,28.16082764,6.765999794
12.50163555,13.60449982,21.6766777,28.11907387,6.826666832
12.36004639,13.87849998,21.8631134,28.68696785,7.047999859
12.22684097,13.87749958,21.94869995,28.91245461,7.283332825
12.31222916,13.88449955,22.03128052,28.84564781,7.157332897
12.70625019,14.10499954,22.21921921,28.69531059,7.811999798
12.99408436,14.1864996,22.07983017,28.34455872,7.854667187
13.0658083,14.20149994,22.18293381,28.40301704,7.682666779
12.9608593,14.29399967,22.3596096,28.57005119,8.005999565
12.88727474,14.52950001,22.64990044,28.67025948,8.107333183
13.11393452,14.57649994,22.6536541,28.68696785,8.229999542
13.06363487,14.6164999,22.67242241,28.97925568,8.151332855
13.26732063,14.9829998,23.02902985,29.80605507,8.373999596
13.24310398,15.37749958,23.09809875,29.78934479,8.659999847
13.27197838,15.32849979,23.1403904,30.20691109,8.484000206
13.35767937,15.34350014,23.0132637,30.29043198,7.269999981
13.36109352,15.43449974,22.9867363,29.84780312,8.016667366
13.40611839,15.20549965,22.7897892,29.59725761,7.935332775
13.19466782,15.26150036,22.43743706,26.22331047,7.978666782
13.23689461,15.17399979,22.79029083,26.73274612,8.161999702
13.00961018,15.05300045,22.61761856,26.57406616,8.182666779
13.67780304,14.94699955,22.59509468,26.69098473,8.113332748
13.61538982,15.17000008,22.21471405,26.21495628,8.271332741
13.69270897,15.60050011,22.15590668,26.40704536,8.626000404
13.90384674,15.30500031,22.07882881,26.34023094,8.974666595
14.07555485,15.12049961,22.29529572,26.59912491,8.78266716
14.05102158,15.06099987,22.21596527,26.59077072,8.951999664
14.17987633,15.2784996,22.62812805,26.44880104,9.03666687
14.36183071,15.21049976,22.68693733,26.63252449,9.199999809
14.57639217,15.04950047,22.64764786,26.47385025,9.64533329
14.44598198,15.03750038,22.43668747,26.37363815,9.476667404
14.43759251,14.84549999,22.28853989,26.77450752,8.948666573
14.40883827,14.7869997,22.33883858,27.46766281,10.23200035
14.20380783,14.86299992,22.28253365,27.30899048,10.19999981
14.60730934,14.83450031,22.1599102,27.45096397,9.825332642
15.30147552,14.69849968,22.05330276,27.10614395,9.695332527
15.58058929,14.56700039,21.76701736,27.20706558,9.29066658
15.56214523,14.32349968,21.51301384,26.73610115,9.311332703
15.70030022,14.24100018,21.44419479,26.74450684,9.466667175
15.86938763,14.2784996,21.66291237,26.39968872,9.659999847
15.66091633,14.35449982,21.6571579,26.59312439,9.972000122
15.70123005,14.22850037,21.75500488,26.58471298,9.857333183
15.71998215,14.48649979,21.86461449,27.24071121,10.47333336
15.6593523,14.50049973,21.77702713,29.22552681,10.78933334
15.72029686,14.31050014,21.68143082,28.72090149,10.94799995
15.27085209,14.04650021,21.27502441,27.97239494,11.13399982
15.34305286,14.07900047,21.23498535,27.77055168,11.09666729
15.36805916,14.19900036,21.4071579,28.21629524,11.07066727
15.22802544,14.04899979,21.19369316,28.0901432,11.26666737
15.27054119,14.43999958,21.53103065,26.81178665,11.2626667
